i,type,title,color,text
1,keep,Kyselinový útok,#3ab069,V každém tahu způsobíš 1 zranění navíc (i když neútočíš).
2,keep,Mimozemský metabolismus,#1c65ab,Nákup karet tě stojí o&nbsp;⚡&nbsp;méně.
3,keep,Alfa nestvůra,#65529e,"Získáváš ⭐, když zaútočíš."
4,keep,Plátová zbroj,#df2c41,Ignoruj 1 zranění.
5,keep,Ten vzadu,#836395,Vždy můžeš přehodit jakoukoliv [3].
6,keep,Závrt,#a0612f,"Pří útoku do Tokia udělíš 1&nbsp;zranění navíc. Při opuštění Tokia udělíš 1 zranění příšeře, která ho přebírá."
7,keep,Maskování,#478f6c,"Za každé utrpěné zranění hoď kostkou. Padne-li [❤️], zranění nedostaneš."
8,keep,Totální destrukce,#a0612f,"Pokud hodíš <span style='white-space: nowrap'>[1][2][3][❤️][🖐][⚡]</span>, tak k&nbsp;běžným účinkům hodu získáš 9&nbsp;⭐."
9,keep,Nadšení zpravodajci,#761249,"Kdykoliv koupíš kartu, získáváš ⭐."
,back,,,
,back,,,
,back,,,
,back,,,
,back,,,
,back,,,
,back,,,
,back,,,
,back,,,
10,keep,Požírač mrtvých,#253517,"Získej 3 ⭐ pokaždé, když se nějaká příšera dostane na 0 ❤️."
11,keep,Nabíječ,#31809c,Za každých 6 ⚡ získáváš na konci svého tahu 1 ⭐.
12,keep,Ještě větší,#a13443,"Tvé max. ❤️ jsou zvětšeny o 2. Když dostaneš tuto kartu, získáváš 2 ❤️. Když o ni přijdeš, ztratíš 2 ❤️."
13,keep,Hlava navíc,#00013f,Máš k dispozici 1 kostku navíc.
14,keep,Hlava navíc,#00013f,Máš k dispozici 1 kostku navíc.
15,keep,Ohnivý dech,#914424,"Vždy když způsobíš zranění, dostanou tví sousedé 1 zranění navíc."
16,keep,Zmrazení času,#6e9550,"Pokud vyhodnotíš [1][1][1], získáváš další kolo navíc s o 1 kostkou méně."
17,keep,Milovník dětí,#af6185,"Pokud získáš nějakou ⚡, získáváš 1 ⚡ navíc."
18,keep,Obří mozek,#ac7608,V každém tahu máš 1&nbsp;přehození navíc.
,back,,,
,back,,,
,back,,,
,back,,,
,back,,,
,back,,,
,back,,,
,back,,,
,back,,,
19,keep,Gurmán,#948679,"Pokud vyhodnotíš <span style='white-space: nowrap'>[1][1][1]</span>, získáváš navíc 2 ⭐."
20,keep,Léčivé paprsky,#c98f8e,Svými [❤️] můžeš léčit ostatní příšery. Za každé vyléčené zranění ti musí zaplatit 2 ⚡ (nebo co jim zbývá).
21,keep,Býložravec,#4f7543,"V každém tahu, kdy nikomu nezpůsobíš zranění, získáváš 1 ⭐."
22,keep,Sklízeč stáda,#707d74,V každém tahu můžeš změnit jednu ze svých kostek na [1].
23,keep,Má to potomka!,#c5417a,"Pokud jsi vyřazen, odhoď všechny své karty, ztrácíš všechny ⭐, vyléč se na 10 ❤️ a&nbsp;začni znova."
24,keep,Trysky,#5779b6,"Neutrpíš žádné zranění, když opouštíš Tokio."
25,keep,Vyroben v&nbsp;laboratoři,#353b45,Během svého nákupu karet se můžeš podívat na horní kartu balíčku a koupit ji.
26,keep,Metamorf,#427139,Na konci svého tahu můžeš odhodit jakékoliv své vyložené karty a získat za ně zpět ⚡.
27,keep,Imitace,#273c42,Tato karta zkopíruje jakoukoliv jinou vyloženou kartu. Na začátku tahu můžeš za 1 ⚡ změnit imitovanou kartu.
,back,,,
,back,,,
,back,,,
,back,,,
,back,,,
,back,,,
,back,,,
,back,,,
,back,,,
28,keep,Baterková příšera,#aa9846,"Když získáš tuto kartu, polož na ni 6 ⚡. Na začátku každého tahu si vezmi 2 ⚡ z této karty. Když žádná nezbývá, znič tuto kartu."
29,keep,Dech novy,#9ca8ab,Tvé útoky způsobují zranění všem ostatním příšerám.
30,keep,Všežravec,#a6530b,Jednou za tah můžeš obodovat [1][2][3] za 2 ⭐. Tyto kostky můžeš použít i v jiných kombinacích.
